ID,Titulo,Tipo,Prioridad,Responsable,Estado,Criterio de aceptacion
CP-001,Definir dominios institucionales permitidos,Task,Alta,Diego Rivera,Por hacer,"Existe una lista inicial de dominios validos para registro universitario."
CP-002,Crear flujo de registro con correo institucional,Story,Alta,Diego Quintero,Por hacer,"El usuario puede capturar nombre, correo institucional y contrasena."
CP-003,Disenar verificacion de cuenta por correo,Task,Alta,Diego Quintero,Por hacer,"El usuario queda como no verificado hasta confirmar su correo."
CP-004,Crear modelo de usuario y roles,Task,Alta,Sebastian Lugo,Por hacer,"El modelo distingue pasajero, conductor y administrador basico."
CP-005,Definir formulario para publicar viaje,Story,Alta,Diego Rivera,Por hacer,"El conductor puede registrar origen, destino, fecha, hora y asientos disponibles."
CP-006,Crear modelo de viaje,Task,Alta,Diego Quintero,Por hacer,"El viaje guarda conductor, ruta, horario, cupos y estado."
CP-007,Construir busqueda de viajes disponibles,Story,Alta,Sebastian Lugo,Por hacer,"El pasajero puede filtrar viajes por origen, destino y horario."
CP-008,Crear solicitud para unirse a un viaje,Story,Alta,Diego Rivera,Por hacer,"El pasajero puede enviar solicitud y el conductor puede verla pendiente."
CP-009,Definir estados de solicitud,Task,Media,Sebastian Lugo,Por hacer,"Las solicitudes manejan estados pendiente, aceptada y rechazada."
CP-010,Disenar notificaciones basicas,Task,Media,Diego Quintero,Por hacer,"Se define cuando notificar confirmaciones, rechazos y recordatorios."
CP-011,Crear prototipo de pantallas principales,Task,Media,Sebastian Lugo,Por hacer,"El prototipo incluye registro, publicar viaje, buscar viaje y solicitudes."
CP-012,Documentar criterios de exito del MVP,Task,Media,Diego Rivera,Por hacer,"El README o documento de producto incluye metricas y alcance validado."
